X,order,family,common_name,Binomial,rts,exp.testes,testes_g,log.testes.,ref_testes,BM_g,log.bm.,ref_bm,litter_size,litter_year,longevity,ref_lifehistory,mating_system,ref_mating_system,paternal_care,ref_paternal_care
102,Primates,Cercopithecidae,Sooty Mangabey,Cercocebus_atys,1.046738826,23.99729462,25.1189,1.4,Harcourt 1995,8690,3.939,Harcourt 1995,1.01,1,26.8,Capellini 2015; Myrhvold 2015,promiscuous,Lukas 2013; Harcourt 1995,no,Heldstab 2019; Lukas 2019
103,Primates,Cercopithecidae,Collared Mangabey,Cercocebus_torquatus,1.046738826,23.99729462,25.1189,1.4,Hayward 2011,8690,3.939,Hayward 2011,1.01,0.95,46,Capellini 2015; Myrhvold 2015,NA,,no,Lukas 2019
104,Primates,Cercopithecidae,Red-tailed Monkey,Cercopithecus_ascanius,0.177033491,16.94142724,2.9992,0.477,Harcourt 1995,5358,3.729,Harcourt 1995,1.01,0.52,31.2,Capellini 2015; Myrhvold 2015,promiscuous,Harcourt 1995,no,Heldstab 2019; Lukas 2019
105,Artiodactyla,Cervidae,White-lipped Deer,Cervus_albirostris,0.480233645,242.4082551,116.4126,2.066,Anderson 2004,215774,5.334,Anderson 2004,1,1,18,Capellini 2015,promiscuous,Anderson 2004,NA,NA
106,Artiodactyla,Cervidae,Red Deer (see comments,Cervus_elaphus,1.3558429,160.7855896,218,1.848,Gage 2003; Soulsbury 2010,122000,5.505,Gage 2003; Soulsbury 2010,1.09,0.91,31.5,Capellini 2015,promiscuous,Soulsbury 2010; Kenagy 1986,no,Heldstab 2019; Lukas 2019
107,Artiodactyla,Cervidae,Red Deer (see comments,Cervus_elaphus,0.268566757,262.3902558,70.4693,1.848,Anderson 2004,240867,5.505,Capellini 2015,1.09,0.91,31.5,Capellini 2015,promiscuous,Soulsbury 2010; Kenagy 1986,no,Heldstab 2019; Lukas 2019
108,Chiroptera,Molossidae,Little Free-tailed Bat,Chaerephon_pumilus,0.193158053,0.196730084,0.038,-1.42,Pitnick 2006,11,1.033,Pitnick 2006,1,3,5,Capellini 2015,polygynous,Hosken 2001; Pitnick 2006,NA,NA
109,Rodentia,Heteromyidae,Long-tailed Pocket Mouse,Chaetodipus_formosus,0.693749682,0.302558697,0.2099,-0.678,Hayward 2011,20,1.294,Hayward 2011,5.28,1,7.1,Capellini 2015,promiscuous,Waterman 2007,NA,NA
110,Chiroptera,Vespertilionidae,Gould's Wattled Bat,Chalinolobus_gouldii,0.061956628,0.234034687,0.0145,-2,Ramm 2007; Gage 2003,14,1.13,Ramm 2007; Gage 2003,1.41,1,7.6,Capellini 2015; Myrhvold et al 2015,NA,,no,Lukas 2019
111,Primates,Cheirogaleidae,Greater Dwarf Lemur,Cheirogaleus_major,0.989143369,2.326659685,2.3014,0.362,Harcourt 1995,340,2.531,Harcourt 1995,2.26,NA,15,Capellini 2015,polygynous,Pantheria; Lukas 2013; Lukas 2012,NA,NA
112,Rodentia,Chinchillidae,Long-tailed Chinchilla,Chinchilla_lanigera,1.912979582,2.71827261,5.2,0.716,Hayward 2011,422,2.626,Hayward 2011,1.87,2,17.2,Capellini 2015,NA,,no,Heldstab 2019
113,Rodentia,Muridae,Indomalayan Pencil-tailed Tree Mouse,Chiropodomys_gliroides,1.172657599,0.32405026,0.38,-0.42,Breed 2000,22,1.342,Breed 2000,1.65,NA,3.6,Capellini 2015,NA,,NA,
114,Rodentia,Muridae,Lesser Chiruromys,Chiruromys_vates,3.06891419,0.568279167,1.744,0.242,Breed 2000,48,1.681,Breed 2000,1.07,NA,NA,Capellini 2015,NA,,NA,
115,Primates,Cercopithecidae,Grivet,Chlorocebus_aethiops,0.812380639,16.00235083,13,1.314,Gage 2003,4950,3.723,Gage 2003,1,1,31.6,Capellini 2015,promiscuous,Kenagy 1986; Moller 1988; Harcourt 1995; Lupold 2018,no,Heldstab 2019; Lukas 2019
116,Primates,Cercopithecidae,Grivet,Chlorocebus_aethiops,1.228566733,16.77263387,20.6063,1.314,Hayward 2011,5284,3.723,Hayward 2011,1,1,31.6,Capellini 2015,promiscuous,Kenagy 1986; Moller 1988; Harcourt 1995; Lupold 2018,no,Heldstab 2019; Lukas 2019
117,Chiroptera,Phyllostomidae,Woolly False Vampire Bat,Chrotopterus_auritus,0.200482333,0.907810664,0.182,-0.74,Pitnick 2006,92,1.964,Pitnick 2006,0.99,1,NA,Capellini 2015,monogamous,Hosken 2001; Pitnick 2006; Lukas 2013,NA,NA
118,Carnivora,Canidae,Maned Wolf,Chrysocyon_brachyurus,0.209110633,60.62102075,12.6765,1.103,Iossa 2008,31477,4.498,Iossa 2008,2,NA,16.8,Capellini 2015,monogamous,Iossa 2008; Pantheria; Lukas 2013,yes,Heldstab 2019
119,Rodentia,Erethizontidae,Brazilian Porcupine,Coendou_prehensilis,0.218076833,11.23044557,2.4491,0.389,Anderson 2004,3027,3.481,Anderson 2004,0.98,1.11,26.6,Capellini 2015; Myrhvold 2015,polygynous,Anderson 2004; Lukas 2012; Lukas 2013,NA,NA
120,Chiroptera,Emballonuridae,African Sheath-tailed Bat,Coleura_afra,0.163325204,0.183682611,0.03,-1.523,Pitnick 2006,10,1,Pitnick 2006,1,1.5,NA,Capellini 2015,polygynous,Hosken 2001; Pitnick 2006,NA,NA
121,Primates,Cercopithecidae,Mantled Guereza,Colobus_guereza,0.109067567,27.30876,2.9785,0.474,Harcourt 1995,10399,4.017,Harcourt 1995,1,0.59,35,Capellini 2015,promiscuous,Harcourt 1995,no,Heldstab 2019; Lukas 2019
122,Primates,Cercopithecidae,King Colobus,Colobus_polykomos,0.522366028,26.2436668,13.7088,1.137,Hayward 2011,9840,3.993,Hayward 2011,1,0.55,33.9,Capellini 2015,promiscuous,Kenagy 1986; Harcourt 1995,no,Heldstab 2019
123,Rodentia,Muridae,Brush-tailed Conilurus,Conilurus_penicillatus,2.93447046,1.495329416,4.388,0.642,Ramm 2007; Breed 2000,184,2.265,Ramm 2007; Breed 2000,2,NA,5,Capellini 2015,NA,,NA,
124,Artiodactyla,Bovidae,Black Wildebeest,Connochaetes_gnou,0.787867353,173.9990868,137.0882,2.137,Ginsberg 1990,136144,5.134,Ginsberg 1990,1,NA,21.8,Capellini 2015,promiscuous,Ginsberg 1990,NA,NA
125,Artiodactyla,Bovidae,Blue Wildebeest,Connochaetes_taurinus,1.217067779,251.4239595,306,2.486,Ginsberg 1990,227000,5.356,Ginsberg 1990,0.98,1,24.3,Capellini 2015,promiscuous,Ginsberg 1990,no,Heldstab 2019; Lukas 2019
126,Chiroptera,Vespertilionidae,Rafinesque's Big-eared Bat,Corynorhinus_rafinesquii,2.214209445,0.170263929,0.377,-0.42,Gage 2003; Ramm 2007,9,0.959,Gage 2003; Ramm 2007,1,1,10.1,Capellini 2015,promiscuous,Hosken 2001; Pitnick 2006,NA,
127,Soricomorpha,Soricidae,Greater White-toothed Shrew,Crocidura_russula,0.169178176,0.236437115,0.04,-1.398,Soulsbury 2010,14.2,1.152,Soulsbury 2010,4.04,3.5,4,Capellini 2015,monogamous,Soulsbury 2010,no,Lukas 2019
128,Soricomorpha,Soricidae,Lesser White-toothed Shrew,Crocidura_suaveolens,0.703819616,0.14208186,0.1,-1,Hayward 2011,7,0.875,Hayward 2011,3.49,3.5,4,Capellini 2015,NA,,NA,NA
129,Carnivora,Hyaenidae,Spotted Hyena,Crocuta_crocuta,0.125618955,78.41173333,9.85,0.993,Soulsbury 2010,45000,4.653,Soulsbury 2010,1.91,1,41.1,Capellini 2015,promiscuous,Iossa 2008; Soulsbury 2010,no,Heldstab 2019; Lukas 2019
130,Rodentia,Bathyergidae,Southern African Mole-rat,Cryptomys_hottentotus,0.584919291,0.991589795,0.58,-0.237,Soulsbury 2010,104,2.017,Soulsbury 2010,2.48,2,11,Capellini 2015,monogamous,Soulsbury 2010; Pantheria; Lukas 2013; Lukas 2012,NA,
131,Carnivora,Eupleridae,Fossa,Cryptoprocta_ferox,0.399978817,27.85872534,11.1429,1.047,Anderson 2004,10691,4.029,Anderson 2004,2.98,1,23.1,Capellini 2015,promiscuous,Ferguson 2004; Iossa 2008,no,Heldstab 2019
132,Rodentia,Ctenomyidae,Los Talas Tuco-tuco,Ctenomys_talarum,0.249405023,1.202862701,0.3,-0.5,Hayward 2011; Soulsbury 2010,136,2.127,Hayward 2011; Soulsbury 2010,4.34,1.5,3,Capellini 2015,polygynous,Soulsbury 2010; Waterman 2007; Sinervo 2020,no,Heldstab 2019
133,Carnivora,Canidae,Dhole,Cuon_alpinus,0.157575663,40.31904336,6.3533,0.803,Anderson 2004,17865,4.252,Anderson 2004,4.3,1,21.8,Capellini 2015,monogamous; polygynous,Lukas 2013; Lukas 2012,yes,Heldstab 2019; Lukas 2019
134,Carnivora,Herpestidae,Yellow Mongoose,Cynictis_penicillata,0.422223634,4.689458006,1.98,0.297,Soulsbury 2010,900,2.954,Soulsbury 2010,2.15,2,15.2,Capellini 2015,polygynous,Iossa 2008; Soulsbury 2010; Lukas 2013; Lukas 2012,yes,LH19; Held19
135,Chiroptera,Molossidae,Search Results,Cynomops_abrasus,1.182072397,0.156420199,0.1849,-0.733,Pitnick 2006,8,0.903,Pitnick 2006,0.98,NA,NA,Capellini 2015,NA,,NA,NA
136,Rodentia,Sciuridae,Black-tailed Prairie Dog,Cynomys_ludovicianus,0.76337099,5.239916178,4,0.602,Soulsbury 2010,1050,3.021,Soulsbury 2010,4.43,1,11,Capellini 2015,polygynous,Soulsbury 2010; Waterman 2007; Sinervo 2020,no,Heldstab 2019; Lukas 2019
137,Chiroptera,Pteropodidae,Lesser Short-nosed Fruit Bat,Cynopterus_brachyotis,0.289048499,0.41480928,0.1199,-0.921,Ramm 2007,31,1.498,Ramm 2007,0.99,2,10.1,Capellini 2015,NA,,NA,NA
138,Chiroptera,Pteropodidae,Greater Short-nosed Fruit Bat,Cynopterus_sphinx,0.3818193,0.471165286,0.1799,-0.745,Ramm 2007,37,1.57,Ramm 2007,1.5,2,10,Capellini 2015,promiscuous,Hosken 2001; Pitnick 2006,NA,NA
139,Carnivora,Phocidae,Hooded Seal,Cystophora_cristata,0.393960307,274.5032889,108.1434,2.034,Fitzpatrick 2012,256448,5.409,Fitzpatrick 2012,1,1,35,Capellini 2015,monogamous,Lukas 2012; Ferguson 2004,no,Lukas 2019
140,Diprotodontia,Petauridae,Striped Possum,Dactylopsila_trivirgata,0.085499546,2.923992123,0.25,-0.602,Birkhead 1998,467,2.669,Birkhead 1998,1.54,1.1,9.6,Capellini 2015; Myrhvold 2015,NA,,NA,NA
141,Artiodactyla,Cervidae,Fallow Deer,Dama_dama,0.416805415,95.9548474,39.9945,1.602,Anderson 2004,59566,4.775,Anderson 2004,1,1,25,Capellini 2015,promiscuous,Anderson 2004; Ginsberg 1990,no,Heldstab 2019
142,Artiodactyla,Cervidae,Fallow Deer,Dama_dama,1.320697043,100.7043975,133,1.602,Gage 2003,63700,4.775,Gage 2003,1,1,25,Capellini 2015,promiscuous,Anderson 2004; Ginsberg 1990,no,Heldstab 2019
143,Artiodactyla,Bovidae,Bontebok (see comments,Damaliscus_pygargus,1.447466674,110.5379508,160,2.204,Ginsberg 1990,72500,4.86,Ginsberg 1990,1.41,1.1,23,Capellini 2015; Myrhvold et al 2015,promiscuous,Ginsberg 1990,NA,
144,Dasyuromorphia,Dasyuridae,Little Red Kaluta,Dasykaluta_rosamondae,0.278117741,0.452685972,0.1259,-0.9,Birkhead 1998,35,1.548,Birkhead 1998,6.64,1,3,Capellini 2015,NA,,NA,NA
145,Rodentia,Muridae,Common Dasymys,Dasymys_incomtus,1.673400347,1.821440999,3.048,0.484,Hayward 2011,242,2.384,Hayward 2011,2.67,NA,1,Capellini 2015; Myrhvold et al 2015,NA,,NA,
146,Dasyuromorphia,Dasyuridae,Kowari,Dasyuroides_byrnei,1.226516212,1.125464129,1.3804,0.14,Birkhead 1998,124,2.092,Birkhead 1998,5.14,2,8,Capellini 2015,NA,,NA,NA
147,Dasyuromorphia,Dasyuridae,Northern Quoll,Dasyurus_hallucatus,0.27879941,4.83860421,1.349,0.13,Birkhead 1998,940,2.973,Birkhead 1998,6.39,1,5.9,Capellini 2015,NA,,no,Lukas 2019
148,Dasyuromorphia,Dasyuridae,Eastern Quoll,Dasyurus_viverrinus,0.343695377,6.851997891,2.355,0.372,Birkhead 1998,1524,3.183,Birkhead 1998,4.7,1,6.8,Capellini 2015,NA,,no,Lukas 2019
149,Chiroptera,Phyllostomidae,Pygmy Fruit-eating Bat,Dermanura_phaeotis,0.243973333,0.209449121,0.0511,-1.292,Pitnick 2006,12,1.079,Pitnick 2006,0.99,2,NA,Capellini 2015,NA,,NA,NA
150,Chiroptera,Phyllostomidae,Common Vampire Bat,Desmodus_rotundus,0.187216977,0.443335863,0.083,-1.081,Pitnick 2006,34,1.528,Pitnick 2006,1,1.26,29.2,Capellini 2015,polygynous,Hosken 2001; Pitnick 2006,NA,NA
151,Rodentia,Cricetidae,Nearctic Collared Lemming,Dicrostonyx_groenlandicus,0.201971005,0.683266394,0.138,-0.86,Hayward 2011,62,1.792,Hayward 2011,3.78,2,3.3,Capellini 2015,NA,,no,Lukas 2019
152,Didelphimorphia,Didelphidae,White-eared Opossum,Didelphis_albiventris,0.289781706,6.08043904,1.762,0.246,Birkhead 1998,1291,3.111,Birkhead 1998,6.9,1.5,1.7,Capellini 2015,NA,,NA,NA
153,Didelphimorphia,Didelphidae,Virginia Opossum,Didelphis_virginiana,0.228894243,13.10299445,2.9992,0.477,Anderson 2004,3750,3.574,Anderson 2004,8.62,2,6.6,Capellini 2015,polygynous,Anderson 2004; Lukas 2012; Lukas 2013,no,Lukas 2019
154,Rodentia,Heteromyidae,Merriam's Kangaroo Rat,Dipodomys_merriami,0.919146821,0.489366867,0.4498,-0.347,Hayward 2011,39,1.587,Hayward 2011,2.39,1.75,9.7,Capellini 2015,promiscuous,Waterman 2007,no,Heldstab 2019
155,Rodentia,Heteromyidae,Chisel-toothed Kangaroo Rat,Dipodomys_microps,0.585276846,0.683266394,0.3999,-0.398,Hayward 2011,62,1.789,Hayward 2011,2.37,1,3.658333333,Capellini 2015; Myrhvold 2015,NA,,no,Heldstab 2019
156,Rodentia,Heteromyidae,Ord's Kangaroo Rat,Dipodomys_ordii,0.834193015,0.634984938,0.5297,-0.276,Hayward 2011,56,1.751,Hayward 2011,2.95,2,9.9,Capellini 2015,NA,,no,Heldstab 2019
157,Rodentia,Heteromyidae,Panamint Kangaroo Rat,Dipodomys_panamintinus,0.657278631,0.791140889,0.52,-0.284,Hayward 2011,76,1.883,Hayward 2011,3.78,1,4.533333333,Capellini 2015; Myrhvold 2015,NA,,NA,NA
158,Chiroptera,Phyllostomidae,Honduran White Bat,Ectophylla_alba,0.70933279,0.111513243,0.0791,-1.102,Pitnick 2006,5,0.74,Pitnick 2006,0.99,2,NA,Capellini 2015,polygynous,Hosken 2001,NA,NA
159,Chiroptera,Pteropodidae,African Straw-colored Fruit Bat,Eidolon_helvum,1.480325953,1.912686861,2.8314,0.452,Ramm 2007,259,2.413,Ramm 2007,1.08,1,21.8325,Capellini 2015,promiscuous,Hosken 2001,NA,NA
160,Artiodactyla,Cervidae,Pere David's Deer,Elaphurus_davidianus,0.238414086,240.8062412,57.4116,1.759,Anderson 2004,213796,5.33,Anderson 2004,1.22,1,27.5,Capellini 2015,promiscuous,Anderson 2004,NA,NA
161,Proboscidea,Elephantidae,Asian Elephant,Elephas_maximus,1.838939951,2175.166186,4000,3.458,Gage 2003,4545000,6.658,Gage 2003,1.41,0.23,78,Capellini 2015,promiscuous,Anderson 2004; Ginsberg 1990; Rasmussen 1998; Poole1989,no,Heldstab 2019
162,Proboscidea,Elephantidae,Asian Elephant,Elephas_maximus,1.318778721,2176.847832,2870.7806,3.458,Anderson 2004,4549881,6.658,Anderson 2004,1.41,0.23,78,Capellini 2015,promiscuous,Anderson 2004; Ginsberg 1990; Rasmussen 1998; Poole 1989,no,Heldstab 2019
163,Chiroptera,Pteropodidae,Lesser Dawn Bat,Eonycteris_spelaea,0.585276846,0.683266394,0.3999,-0.398,Ramm 2007,62,1.792,Ramm 2007,1,2,5,Capellini 2015,polygynous,Hosken 2001; Lukas 2013,NA,NA
164,Chiroptera,Pteropodidae,Peters's Epauletted Fruit Bat,Epomophorus_crypturus,1.095742061,0.820904875,0.8995,-0.046,Pitnick 2006,80,1.903,Pitnick 2006,0.99,1.5,7.8,Capellini 2015; Myrhvold 2015,NA,,NA,NA
165,Chiroptera,Pteropodidae,Franquet's Epauletted Fruit<b> </b>Bat,Epomops_franqueti,0.221272355,1.352179763,0.2992,-0.524,Pitnick 2006,160,2.204,Pitnick 2006,1,2,3.158333333,Capellini 2015; Myrhvold 2015,polygynous,Hosken 2001,NA,NA
166,Chiroptera,Vespertilionidae,Argentinian Brown Bat,Eptesicus_furinalis,0.383582173,0.156420199,0.06,-1.222,Ramm 2007,8,0.877,Ramm 2007,1.86,2,NA,Capellini 2015,NA,,NA,NA
167,Perissodactyla,Equidae,Ass,Equus_africanus,0.674982176,299.7144329,202.3019,2.306,Anderson 2004,289734,5.462,Anderson 2004,1,1,47,Capellini 2015,promiscuous,Anderson 2004,no,Heldstab 2019
168,Perissodactyla,Equidae,Horse,Equus_caballus,1.260002511,269.5433517,339.6253,2.531,Anderson 2004,250035,5.398,Anderson 2004,1,1,62,Capellini 2015,promiscuous,Linklater 1999; Anderson 2004; Ginsberg 1990,no,Heldstab 2019; Lukas 2019
169,Perissodactyla,Equidae,Horse,Equus_caballus,1.010909497,411.5106262,416,2.531,Gage 2003,450000,5.398,Gage 2003,1,1,62,Capellini 2015,promiscuous,Linklater 1999; Anderson 2004; Ginsberg 1990,no,Heldstab 2019; Lukas 2019
170,Perissodactyla,Equidae,Grevy's Zebra,Equus_grevyi,3.120950903,368.4774403,1150,3.061,Ginsberg 1990,386000,5.587,Ginsberg 1990,1,0.5,31,Capellini 2015,promiscuous,Ginsberg 1990,NA,
171,Perissodactyla,Equidae,Kiang,Equus_kiang,0.472337122,343.3585728,162.181,2.21,Anderson 2004,349945,5.544,Anderson 2004,1,0.5,30.1,Myrhvold 2015,polygynous,Anderson 2004; Lukas 2012; Lukas 2013,NA,NA
172,Perissodactyla,Equidae,Burchell's Zebra,Equus_quagga,1.160090649,260.3203467,301.9952,2.48,Ginsberg 1990,238232,5.377,Ginsberg 1990,1,0.64,40,Capellini 2015,polygynous,Pantheria; Lukas 2012; Lukas 2013,no,Lukas 2019
173,Perissodactyla,Equidae,Mountain Zebra,Equus_zebra,0.413058733,338.8348653,139.9587,2.146,Anderson 2004,343558,5.536,Anderson 2004,1,0.35,33.2,Capellini 2015,polygynous,Anderson 2004; Lukas 2013; Lukas 2012; Ginsberg 1990,no,Heldstab 2019; Lukas 2019
174,Carnivora,Phocidae,Bearded Seal,Erignathus_barbatus,0.45145244,284.7004215,128.5287,2.109,Fitzpatrick 2012,269774,5.431,Fitzpatrick 2012,1,1,31.4525,Capellini 2015,promiscuous,Ferguson 2004,no,Heldstab 2019
175,Erinaceomorpha,Erinaceidae,West European Hedgehog,Erinaceus_europaeus,0.612508826,3.771374228,2.31,0.494,Gage 2003,665,2.845,Gage 2003,4.64,1.5,14,Capellini 2015,promiscuous,Anderson 2004; Soulsbury 2010,no,Heldstab 2019
176,Erinaceomorpha,Erinaceidae,West European Hedgehog,Erinaceus_europaeus,0.797008251,3.913259364,3.1189,0.494,Anderson 2004,700,2.845,Anderson 2004,4.64,1.5,14,Capellini 2015,promiscuous,Anderson 2004; Soulsbury 2010,no,Heldstab 2019
177,Primates,Cercopithecidae,Patas Monkey,Erythrocebus_patas,0.271184243,26.55021513,7.2,0.857,Ramm 2007,10000,4,Ramm 2007,1.01,0.97,28.3,Capellini 2015,promiscuous,Moller 1988; Harcourt 1995,no,Heldstab 2019; Lukas 2019
178,Chiroptera,Vespertilionidae,Spotted Bat,Euderma_maculatum,0.268749527,0.245953921,0.0661,-1.18,Pitnick 2006,15,1.176,Pitnick 2006,1,NA,NA,Capellini 2015,NA,,NA,NA
179,Artiodactyla,Bovidae,Red-fronted Gazelle,Eudorcas_rufifrons,0.146476857,53.97985843,7.9068,0.898,Anderson 2004,26792,4.428,Anderson 2004,1,1.5,14.5,Capellini 2015; Myrhvold 2015,promiscuous,Anderson 2004,NA,NA
180,Primates,Lemuridae,Brown Lemur,Eulemur_fulvus,0.795091434,9.785541218,7.7804,0.891,Soulsbury 2010,2500,3.398,Soulsbury 2010,1.1,2,37,Capellini 2015,polygynous,Soulsbury 2010; Ostner 1999,no,Heldstab 2019; Lukas 2019
181,Primates,Lemuridae,Black Lemur,Eulemur_macaco,1.6998651,9.785541218,16.6341,1.221,Harcourt 1995,2500,3.398,Harcourt 1995,1.04,1,36.2,Capellini 2015,promiscuous,Harcourt 1995,no,Heldstab 2019; Lukas 2019
182,Carnivora,Otariidae,Steller Sea Lion,Eumetopias_jubatus,0.248892499,714.4767334,177.8279,2.25,Ramm 2007,968278,5.986,Ramm 2007,0.96,1,32.8,Capellini 2015,polygynous,Ferguson 2004,no,Heldstab 2019; Lukas 2019
183,Carnivora,Felidae,Domestic Cat,Felis_catus,0.231689272,15.58121346,3.61,0.558,Soulsbury 2010,4770,3.679,Soulsbury 2010,4,1.5,34,Capellini 2015,polygynous,Iossa 2008; Soulsbury 2010,no,Lukas 2019
184,Carnivora,Felidae,Jungle Cat,Felis_chaus,0.203191046,22.755924,4.6238,0.665,Iossa 2008,8072,3.907,Iossa 2008,2.94,2,20,Capellini 2015,NA,,no,Heldstab 2019
185,Carnivora,Felidae,Black-footed Cat,Felis_nigripes,0.255281639,8.27909131,2.1135,0.325,Iossa 2008,1982,3.297,Iossa 2008,1.78,4,15.6,Capellini 2015,polygynous,Iossa 2008,yes,Heldstab 2019
186,Carnivora,Felidae,Wildcat,Felis_silvestris,0.262136492,10.45867358,2.7416,0.438,Anderson 2004,2742,3.438,Anderson 2004,3.59,2,28,Capellini 2015,promiscuous,Anderson 2004; Iossa 2008; Ferguson 2004,no,Heldstab 2019
187,Rodentia,Sciuridae,Indian Palm Squirrel,Funambulus_palmarum,1.803098286,1.253398119,2.26,0.354,Hayward 2011,144,2.157,Hayward 2011,2.62,NA,5.5,Capellini 2015; Myrhvold et al 2015,NA,,NA,NA
188,Primates,Galagidae,Senegal Bushbaby,Galago_senegalensis,1.009107629,1.644621398,1.6596,0.22,Anderson 2004,210,2.322,Anderson 2004,1.5,2,18.833,Capellini 2015,promiscuous,Anderson 2004,no,Heldstab 2019
189,Primates,Galagidae,Prince Demidoff's bushbaby,Galagoides_demidovii,1.182570885,0.828280159,0.9795,-0.009,Anderson 2004,81,1.908,Anderson 2004,NA,NA,NA,NA,promiscuous,Anderson 2004,NA,NA
190,Carnivora,Eupleridae,Ring-tailed Mongoose,Galidia_elegans,0.33660364,5.033516578,1.6943,0.229,Iossa 2008,993,2.997,Iossa 2008,1,1,26,Capellini 2015,monogamous; polygynous,Iossa 2008; Pantheria; Lukas 2013; Lukas 2012,yes,Heldstab 2019
191,Artiodactyla,Bovidae,Cuvier's Gazelle,Gazella_cuvieri,0.735143106,53.53379456,39.355,1.595,Anderson 2004,26485,4.423,Anderson 2004,1.46,NA,17.9,Capellini 2015,polygynous,Anderson 2004; Alados 1994,NA,NA
192,Artiodactyla,Bovidae,Dorcas Gazelle,Gazella_dorcas,0.901835459,34.90381721,31.4775,1.498,Anderson 2004,14622,4.165,Anderson 2004,1.22,1,23.7,Capellini 2015,polygynous,Anderson 2004; Lukas 2012; Lukas 2013; Pantheria,no,Heldstab 2019; Lukas 2019
193,Artiodactyla,Bovidae,Slender-horned Gazelle,Gazella_leptoceros,0.226469646,29.37568068,6.6527,0.823,Anderson 2004,11508,4.061,Anderson 2004,1,NA,14.6,Capellini 2015,promiscuous,Anderson 2004,NA,NA
194,Artiodactyla,Bovidae,Goitered Gazelle,Gazella_subgutturosa,0.160464372,51.35968736,8.2414,0.916,Anderson 2004,25003,4.398,Anderson 2004,1.39,1,20,Capellini 2015,promiscuous,Anderson 2004,NA,NA
195,Carnivora,Viverridae,Common Genet,Genetta_genetta,0.120008011,7.994466318,0.9594,-0.018,Iossa 2008,1888,3.276,Iossa 2008,2.29,2,34,Capellini 2015,promiscuous,Iossa 2008; Ferguson 2004; Lukas 2013; Lukas 2012,no,Heldstab 2019
196,Rodentia,Muridae,Cape Gerbil,Gerbilliscus_afra,8.531074053,0.907810664,7.7446,0.889,Hayward 2011,92,1.964,Hayward 2011,3.92,6.5,5.7,Capellini 2015,NA,,NA,NA
197,Rodentia,Muridae,Highveld Gerbil,Gerbilliscus_brantsii,5.758061053,0.921977025,5.3088,0.725,Hayward 2011,94,1.973,Hayward 2011,2.74,4,0.75,Capellini 2015; Myrhvold 2015,NA,,NA,NA
198,Artiodactyla,Giraffidae,Giraffe,Giraffa_camelopardalis,0.340229462,676.4381856,230.1442,2.362,Anderson 2004,897429,5.953,Anderson 2004,1.29,1,39.5,Capellini 2015,promiscuous,Anderson 2004; Ginsberg 1990,no,Heldstab 2019; Lukas 2019
199,Artiodactyla,Giraffidae,Giraffe,Giraffa_camelopardalis,1.287257028,834.3322091,1074,2.362,Gage 2003,1201000,5.953,Gage 2003,1.29,1,39.5,Capellini 2015,promiscuous,Anderson 2004; Ginsberg 1990,no,Heldstab 2019; Lukas 2019
200,Chiroptera,Phyllostomidae,Gray's Long-tongued Bat,Glossophaga_leachii,0.18539805,0.156420199,0.029,-1.538,Pitnick 2006,8,0.924,Pitnick 2006,0.98,2,10.4875,Capellini 2015; Myrhvold 2015,NA,,NA,NA
201,Chiroptera,Phyllostomidae,Western Long-tongued Bat,Glossophaga_morenoi,0.063930362,0.156420199,0.01,-2,Hosken 2001,8,0.924,Hosken 2001,1,NA,NA,Capellini 2015,NA,,NA,NA
202,Primates,Hominidae,Eastern Gorilla,Gorilla_beringei,0.15675155,229.5026751,35.9749,1.556,Soulsbury 2010,199986,5.301,Soulsbury 2010,1,0.3,50.45,Myrhvold 2015,promiscuous,Soulsbury 2010; Lukas 2013,yes,Heldstab 2019
203,Primates,Hominidae,Western Gorilla,Gorilla_gorilla,0.134738067,171.9922261,23.1739,1.365,Hayward 2011,133968,5.127,Hayward 2011,1.05,0.26,55.4,Capellini 2015,polygynous,Pantheria; Kenagy 1986; Moller 1988; Harcourt 1995,yes,Heldstab 2019
204,Primates,Hominidae,Western Gorilla,Gorilla_gorilla,0.145594591,203.3042566,29.6,1.365,Gage 2003,169000,5.127,Gage 2003,1.05,0.26,55.4,Capellini 2015,polygynous,Pantheria; Kenagy 1986; Moller 1988; Harcourt 1995,yes,Heldstab 2019
205,Rodentia,Muridae,Macmillan's Grammomys,Grammomys_macmillani,1.328332356,0.49836925,0.662,-0.179,Breed 2000,40,1.602,Breed 2000,NA,NA,NA,NA,NA,,NA,
206,Carnivora,Mustelidae,Wolverine,Gulo_gulo,0.489999814,34.6938907,17,1.23,Soulsbury 2010,14500,4.161,Soulsbury 2010,2.84,0.5,19.5,Capellini 2015,promiscuous,Iossa 2008; Soulsbury 2010; Pantheria; Ferguson 2004,no,Heldstab 2019
207,Diprotodontia,Petauridae,Leadebeater's Possum,Gymnobelideus_leadbeateri,0.104316328,1.072698804,0.1119,-0.951,Birkhead 1998,116,2.063,Birkhead 1998,1.54,2,14.1,Capellini 2015,polygynous,Lukas 2012; Lukas 2013; Rose 1997,NA,NA
208,Carnivora,Phocidae,Gray Seal,Halichoerus_grypus,0.592450206,269.9902851,159.9558,2.204,Fitzpatrick 2012,250611,5.399,Fitzpatrick 2012,0.96,0.93,46.6725,Capellini 2015,polygynous,Lukas 2012; Ferguson 2004; Pantheria,no,Heldstab 2019; Lukas 2019
