X,order,family,common_name,Binomial,rts,exp.testes,testes_g,log.testes.,ref_testes,BM_g,log.bm.,ref_bm,litter_size,litter_year,longevity,ref_lifehistory,mating_system,ref_mating_system,paternal_care,ref_paternal_care
22,Rodentia,Sciuridae,White-tailed Antelope Squirrel,Ammospermophilus_leucurus,2.056011474,1.039877465,2.138,0.33,Hayward 2011,111.1,1.994,Hayward 2011,8,1.25,11.2,Capellini 2015,promiscuous,Waterman 2007; Sinervo 2020,no,Heldstab 2019
23,Artiodactyla,Bovidae,Barbary Sheep,Ammotragus_lervia,0.178308428,105.639987,18.8365,1.275,Anderson 2004,68077,4.833,Anderson 2004,1.22,2,21.7,Capellini 2015,promiscuous,Anderson 2004,no,Heldstab 2019
24,Rodentia,Muridae,Uneven-toothed Rat,Anisomys_imitator,1.341323654,3.106632757,4.167,0.62,Ramm 2007,508,2.706,Ramm 2007,NA,NA,NA,Capellini 2015,NA,,NA,
25,Chiroptera,Phyllostomidae,Handley's Tailless Bat,Anoura_cultrata,0.368198815,0.269148069,0.0991,-1.004,Pitnick 2006,17,1.233,Pitnick 2006,1.22,NA,NA,Capellini 2015,NA,,NA,NA
26,Chiroptera,Phyllostomidae,Geoffroy's Tailless Bat,Anoura_geoffroyi,0.203290111,0.245953921,0.05,-1.301,Pitnick 2006,15,1.179,Pitnick 2006,0.99,1,10,Capellini 2015,NA,,NA,NA
27,Dasyuromorphia,Dasyuridae,Yellow-footed Antechinus,Antechinus_flavipes,0.280402663,0.58522982,0.1641,-0.785,Birkhead 1998,50,1.697,Birkhead 1998,8.54,1,3.9,Capellini 2015,promiscuous,Rose 1997; Pantheria,NA,NA
28,Dasyuromorphia,Dasyuridae,Brown Antechinus,Antechinus_stuartii,0.715005498,0.489366867,0.3499,-0.456,Hayward 2011,39,1.591,Hayward 2011,6.89,1,5.4,Capellini 2015,promiscuous,Pantheria; Rose 1997,no,Heldstab 2019; Lukas 2019
29,Dasyuromorphia,Dasyuridae,Dusky Antechinus,Antechinus_swainsonii,0.362763937,0.998445444,0.3622,-0.441,Birkhead 1998,105,2.02,Birkhead 1998,8.24,1,3.3,Capellini 2015,promiscuous,Pantheria; Rose 1997,no,Lukas 2019
30,Artiodactyla,Bovidae,Springbok,Antidorcas_marsupialis,0.976987309,72.62919316,70.9578,1.851,Anderson 2004,40458,4.607,Anderson 2004,1,1,10,Capellini 2015,promiscuous,Anderson 2004; Ginsberg 1990,no,Heldstab 2019
31,Artiodactyla,Antilocapridae,Pronghorn,Antilocapra_americana,0.772910599,98.37179114,76.0326,1.881,Ginsberg 1990,61660,4.79,Ginsberg 1990,1.93,1,15.5,Capellini 2015,promiscuous,Soulsbury 2010; Ginsberg 1990; Lukas 2013; Lukas 2012,no,Heldstab 2019; Lukas 2019
32,Chiroptera,Vespertilionidae,Pallid Bat,Antrozous_pallidus,0.52399279,0.32405026,0.1698,-0.77,Ramm 2007,22,1.346,Ramm 2007,1.78,NA,14.8,Capellini 2015,NA,,no,Lukas 2019
33,Chiroptera,Vespertilionidae,Pallid Bat,Antrozous_pallidus,0.541559411,0.334589329,0.1812,-0.77,Gage 2003,23,1.346,Gage 2003,1.78,NA,14.8,Capellini 2015,NA,,no,Lukas 2019
34,Primates,Aotidae,Three-striped Night Monkey,Aotus_trivirgatus,0.2336763,5.135308973,1.2,0.079,Hayward 2011,1021,3.009,Hayward 2011,1.06,1.34,30.1,Capellini 2015; Myrhvold 2015,monogamous; polygynous,Pantheria; Kenagy 1986; Lukas 2013; Lukas 2012,yes,Heldstab 2019
35,Rodentia,Muridae,Striped Field Mouse,Apodemus_agrarius,3.064648056,0.32405026,0.9931,-0.003,Hayward 2011,22,1.338,Hayward 2011,5.64,3.5,4,Capellini 2015,promiscuous,Soulsbury 2010; Sinervo 2020,NA,
36,Rodentia,Muridae,Striped Field Mouse,Apodemus_agrarius,2.721533419,0.452685972,1.232,-0.003,Breed 2000,35,1.338,Breed 2000,5.64,3.5,4,Capellini 2015,promiscuous,Soulsbury 2010; Sinervo 2020,NA,
37,Rodentia,Muridae,Striped Field Mouse,Apodemus_agrarius,3.087661372,0.321926494,0.994,-0.003,Hayward 2011; Gage 2003; Soulsbury 2010,21.8,1.338,Hayward 2011; Gage 2003; Soulsbury 2010,5.64,3.5,4,Capellini 2015,promiscuous,Soulsbury 2010; Sinervo 2020,NA,
38,Rodentia,Muridae,Small Japanese Field Mouse,Apodemus_argenteus,2.077375723,0.313376147,0.651,-0.207,Hayward 2011,21,1.322,Hayward 2011,4.12,3.8,5,Capellini 2015; Myrhvold et al 2015,promiscuous,Sinervo 2020,NA,
39,Rodentia,Muridae,Yellow-necked Field Mouse,Apodemus_flavicollis,2.248053837,0.396342821,0.891,-0.05,Hayward 2011; Breed 2000; Gage 2003: Soulsbury 2010,29.1,1.464,Hayward 2011; Breed 2000; Gage 2003: Soulsbury 2010,4.94,3,4.5,Capellini 2015,promiscuous,Soulsbury 2010; Sinervo 2020,NA,
40,Rodentia,Muridae,Taiwan Field Mouse,Apodemus_semotus,3.574599503,0.385497732,1.378,0.139,Breed 2000,28,1.447,Breed 2000,3.56,3.8,4.4,Capellini 2015; Myrhvold et al 2015,NA,,NA,
41,Rodentia,Muridae,Large Japanese Field Mouse,Apodemus_speciosus,2.237223608,0.551129532,1.233,0.091,Breed 2000,46,1.663,Breed 2000,4.47,NA,5.3,Capellini 2015,promiscuous,Sinervo 2020,NA,
42,Rodentia,Muridae,Long-tailed Field Mouse,Apodemus_sylvaticus,2.347780805,0.335636103,0.788,-0.103,Hayward 2011; Breed 2000; Gage 2003: Soulsbury 2010,23.1,1.364,Hayward 2011; Breed 2000; Gage 2003: Soulsbury 2010,5.16,3.75,6.3,Capellini 2015,promiscuous,Soulsbury 2010; Waterman 2007; Sinervo 2020,no,Lukas 2019
43,Rodentia,Muridae,Herb Field Mouse,Apodemus_uralensis,1.1096159,0.293795358,0.326,-0.487,Hayward 2011; Soulsbury 2010,19.2,1.283,Hayward 2011; Soulsbury 2010,5.72,3.8,4.4,Capellini 2015; Myrhvold et al 2015,promiscuous,Soulsbury 2010; Sinervo 2020,NA,
44,Carnivora,Otariidae,Australasian Fur Seal,Arctocephalus_forsteri,0.208281855,139.1066924,28.9734,1.462,Fitzpatrick 2012,99770,4.999,Fitzpatrick 2012,1,1,15,Capellini 2015,polygynous,Pantheria,no,Lukas 2019
45,Carnivora,Otariidae,Brown Fur Seal,Arctocephalus_pusillus,0.269830646,163.64709,44.157,1.645,Fitzpatrick 2012,125026,5.097,Fitzpatrick 2012,1,1,32.1,Capellini 2015,polygynous,Pantheria,no,Heldstab 2019; Lukas 2019
46,Carnivora,Otariidae,Subantarctic Fur Seal,Arctocephalus_tropicalis,0.213172757,135.9151159,28.9734,1.462,Fitzpatrick 2012,96605,4.985,Fitzpatrick 2012,1.4,1,23,Capellini 2015,polygynous,Pantheria,no,Heldstab 2019; Lukas 2019
47,Chiroptera,Phyllostomidae,Tree Bat,Ardops_nichollsi,0.368198815,0.269148069,0.0991,-1.004,Pitnick 2006,17,1.228,Pitnick 2006,0.99,2,NA,Capellini 2015,NA,,NA,NA
48,Chiroptera,Phyllostomidae,Jamaican Fruit-eating Bat,Artibeus_jamaicensis,0.102534416,0.49836925,0.0511,-1.292,Pitnick 2006,40,1.602,Pitnick 2006,1,2,19.2,Capellini 2015,polygynous,Hosken 2001; Soulsbury 2010,NA,NA
49,Chiroptera,Phyllostomidae,Great Fruit-eating Bat,Artibeus_lituratus,0.281621326,0.813503733,0.2291,-0.64,Pitnick 2006,79,1.898,Pitnick 2006,1,2,10.45,Capellini 2015; Myrhvold 2015,NA,,NA,NA
