X,order,family,common_name,Binomial,testes_g,log.testes.,ref_testes,BM_g,log.bm.,ref_bm,litter_size,litter_year,longevity,ref_lifehistory,mating_system,ref_mating_system,paternal_care,ref_paternal_care
593,Chiroptera,Vespertilionidae,Greater Asiatic Yellow House Bat,Scotophilus_heathii,0.1698,-0.77,Ramm 2007,37,1.574,Ramm 2007,1.92,1,NA,Capellini 2015,polygynous,Hosken 2001,NA,NA
594,Primates,Cercopithecidae,Northern Plains Gray Langur,Semnopithecus_entellus,11.5,1.047,Soulsbury 2010,19200,4.232,Soulsbury 2010,1.02,0.67,29,Capellini 2015,promiscuous,Anderson 2004; Soulsbury 2010; Harcourt 1995,no,Lukas 2019
595,Primates,Cercopithecidae,Northern Plains Gray Langur,Semnopithecus_entellus,11.1429,1.047,Anderson 2004,17061,4.232,Anderson 2004,1.02,0.67,29,Capellini 2015,promiscuous,Anderson 2004; Soulsbury 2010; Harcourt 1995,no,Lukas 2019
596,Rodentia,Cricetidae,Hispid Cotton Rat,Sigmodon_hispidus,1.73,0.238,Hayward 2011; Gage 2003,223,2.348,Hayward 2011; Gage 2003,5.44,2,5.2,Capellini 2015,promiscuous,Sinervo 2020,no,Heldstab 2019
597,Dasyuromorphia,Dasyuridae,Fat-tailed Dunnart,Sminthopsis_crassicaudata,0.1377,-0.861,Birkhead 1998,15,1.19,Birkhead 1998,6.52,2,5,Capellini 2015,polygynous,Rose 1997; Pantheria,no,Heldstab 2019
598,Dasyuromorphia,Dasyuridae,Stripe-faced Dunnart,Sminthopsis_macroura,0.2466,-0.608,Birkhead 1998,25,1.405,Birkhead 1998,7,2,4.9,Capellini 2015,NA,,NA,NA
599,Dasyuromorphia,Dasyuridae,Red-cheeked Dunnart,Sminthopsis_virginiae,0.2518,-0.599,Birkhead 1998,31,1.491,Birkhead 1998,4.11,2.22,5.3,Capellini 2015; Myrhvold 2015,NA,,NA,NA
600,Soricomorpha,Soricidae,Common Shrew,Sorex_araneus,0.17,-0.553,Soulsbury 2010,11.9,1.124,Soulsbury 2010,6.56,2,3.2,Capellini 2015,promiscuous,Soulsbury 2010,no,Heldstab 2019
601,Soricomorpha,Soricidae,Common Shrew,Sorex_araneus,0.2799,-0.553,Hayward 2011,13,1.124,Hayward 2011,6.56,2,3.2,Capellini 2015,promiscuous,Soulsbury 2010,no,Heldstab 2019
602,Soricomorpha,Soricidae,Cinereus Shrew,Sorex_cinereus,0.1,-1,Hayward 2011,5,0.724,Hayward 2011,6.49,2.18,1.917,Capellini 2015,NA,,no,Heldstab 2019
603,Soricomorpha,Soricidae,Eurasian Pygmy Shrew,Sorex_minutus,0.1,-1,Hayward 2011,5,0.708,Hayward 2011,6.04,1.5,2,Capellini 2015,NA,,NA,NA
604,Soricomorpha,Soricidae,American Water Shrew,Sorex_palustris,0.15,-0.824,Hayward 2011,18,1.246,Hayward 2011,5.46,2.5,1.5,Capellini 2015,NA,,no,Heldstab 2019
605,Cetacea,Delphinidae,Tucuxi,Sotalia_fluviatilis,477.5293,2.679,Hayward 2011,32734,4.515,Hayward 2011,0.97,0.4,30.3875,Capellini 2015; Myrhvold 2015,NA,,NA,NA
606,Cetacea,Delphinidae,Guiana dolphin,Sotalia_guianensis,2269.8649,3.356,Hayward 2011,90782,4.958,Hayward 2011,NA,NA,NA,NA,NA,,NA,NA
607,Carnivora,Canidae,Bush Dog,Speothos_venaticus,8.2414,0.916,Iossa 2008,7396,3.869,Iossa 2008,3.8,2,14.1,Capellini 2015,monogamous; polygynous,Iossa 2008; Lukas 2013; Lukas 2012,yes,Heldstab 2019; Lukas 2019
608,Carnivora,Mephitidae,Western Spotted Skunk,Spilogale_gracilis,2.5177,0.401,Iossa 2008,535,2.728,Iossa 2008,5.07,1.425,10.77916667,Myrhvold 2015,promiscuous,Iossa 2008; Ferguson 2004,NA,NA
609,Carnivora,Mephitidae,Eastern Spotted Skunk,Spilogale_putorius,5.3951,0.732,Iossa 2008,723,2.859,Iossa 2008,5.07,1.5,10.5,Capellini 2015,promiscuous,Iossa 2008; Ferguson 2004,no,Heldstab 2019
610,Cetacea,Delphinidae,Pantropical Spotted Dolphin,Stenella_attenuata,1028.0163,3.012,Hayward 2011,80538,4.906,Hayward 2011,0.99,0.35,46,Capellini 2015,NA,,NA,NA
611,Cetacea,Delphinidae,Striped Dolphin,Stenella_coeruleoalba,449.7799,2.653,Dines 2015,155955,5.193,Dines 2015,1.75,0.31,57.5,Capellini 2015,NA,,NA,NA
612,Cetacea,Delphinidae,Atlantic Spotted Dolphin,Stenella_frontalis,1713.9573,3.234,Dines 2015,142889,5.155,Dines 2015,NA,0.333333333,NA,Capellini 2015; Myrhvold 2015,NA,,NA,NA
613,Cetacea,Delphinidae,Spinner Dolphin,Stenella_longirostris,1686.553,3.227,Dines 2015,74302,4.871,Dines 2015,0.97,0.33,20,Capellini 2015; Myrhvold 2015,promiscuous,Perrin 2003,NA,NA
614,Cetacea,Delphinidae,Rough-toothed Dolphin,Steno_bredanensis,2999.1625,3.477,Dines 2015,154882,5.19,Dines 2015,NA,NA,32,Capellini 2015,NA,,NA,NA
615,Chiroptera,Phyllostomidae,Bidentate Yellow-shouldered Bat,Sturnira_bidens,0.0579,-1.237,Pitnick 2006,17,1.243,Pitnick 2006,0.99,2,NA,Capellini 2015,NA,,NA,NA
616,Chiroptera,Phyllostomidae,Little Yellow-shouldered Bat,Sturnira_lilium,0.1211,-0.917,Pitnick 2006,20,1.31,Pitnick 2006,0.99,2,12,Capellini 2015,NA,,NA,NA
617,Rodentia,Muridae,Mueller's Sundamys,Sundamys_muelleri,7.44,0.872,Breed 2000,400,2.602,Breed 2000,3.8,NA,2,Capellini 2015,NA,,NA,NA
618,Carnivora,Herpestidae,Meerkat,Suricata_suricatta,1.3,0.114,Soulsbury 2010,731,2.864,Soulsbury 2010,3.86,1,20.6,Capellini 2015,monogamous,Iossa 2008; Soulsbury 2010; Pantheria; Lukas 2013; Lukas 2012,yes,LH19; Held19
619,Artiodactyla,Suidae,Wild Boar,Sus_scrofa,36,2.857,Gage 2003,172000,5.29,Gage 2003,4.52,1.5,27,Capellini 2015,polygynous,Soulsbury 2010; Poteaux 2009,no,Heldstab 2019; Lukas 2019
620,Artiodactyla,Suidae,Wild Boar,Sus_scrofa,719.449,2.857,Anderson 2004,194984,5.29,Anderson 2004,4.52,1.5,27,Capellini 2015,polygynous,Soulsbury 2010; Poteaux 2009,no,Heldstab 2019; Lukas 2019
621,Artiodactyla,Bovidae,Bush Duiker,Sylvicapra_grimmia,21.2324,1.327,Anderson 2004,18493,4.267,Anderson 2004,0.98,2,15.4,Capellini 2015,polygynous,Anderson 2004; Lukas 2012; Lukas 2013,no,Heldstab 2019
622,Lagomorpha,Leporidae,Eastern Cottontail,Sylvilagus_floridanus,16.7109,1.223,Hayward 2011,1143,3.058,Hayward 2011,4.62,4.81,9.8,Capellini 2015,NA,,no,Heldstab 2019
623,Monotremata,Tachyglossidae,Short-beaked Echidna,Tachyglossus_aculeatus,50.0035,1.699,Birkhead 1998,5000,3.699,Birkhead 1998,1,0.5,50,Capellini 2015,NA,,no,Heldstab 2019
624,Chiroptera,Molossidae,Egyptian Free-tailed Bat,Tadarida_aegyptiaca,0.07,-1.155,Ramm 2007,16,1.207,Ramm 2007,0.99,1,10,Capellini 2015; Myrhvold 2015,NA,,NA,NA
625,Chiroptera,Molossidae,Brazilian Free-tailed Bat (known as the Mexican Free-tailed Bat in North America,Tadarida_brasiliensis,0.05,-1.301,Ramm 2007,13,1.107,Ramm 2007,1.11,1,15,Capellini 2015,promiscuous,Hosken 2001; Pitnick 2006,no,Lukas 2019
626,Rodentia,Sciuridae,Yellow-pine Chipmunk,Tamias_amoenus,1.22,-0.208,Soulsbury 2010,51,1.629,Soulsbury 2010,4.99,1,5.166666667,Capellini 2015,promiscuous,Soulsbury 2010; Waterman 2007,no,Heldstab 2019
627,Rodentia,Sciuridae,Yellow-pine Chipmunk,Tamias_amoenus,0.6194,-0.208,Hayward 2011,43,1.629,Hayward 2011,4.99,1,5.166666667,Capellini 2015,promiscuous,Soulsbury 2010; Waterman 2007,no,Heldstab 2019
628,Rodentia,Sciuridae,Least Chipmunk,Tamias_minimus,0.7194,-0.143,Hayward 2011,32,1.502,Hayward 2011,4.95,1,10,Capellini 2015,NA,,NA,NA
629,Rodentia,Sciuridae,Townsend's Chipmunk,Tamias_townsendii,0.8204,-0.086,Hayward 2011,68,1.833,Hayward 2011,3.75,1,9.3,Capellini 2015,NA,,NA,NA
630,Rodentia,Sciuridae,Red Squirrel,Tamiasciurus_hudsonicus,2.92,0.465,Soulsbury 2010,186,2.27,Soulsbury 2010,3.93,1.75,12,Capellini 2015,promiscuous,Soulsbury 2010; Waterman 2007; Sinervo 2020,no,Heldstab 2019
631,Chiroptera,Emballonuridae,Sharp-nosed Tomb Bat,Taphozous_georgianus,0.04,-1.398,Ramm 2007,30,1.477,Ramm 2007,1,1,5,Capellini 2015,NA,,NA,NA
632,Chiroptera,Emballonuridae,Long-winged Tomb Bat,Taphozous_longimanus,0.0769,-1.114,Pitnick 2006,36,1.556,Pitnick 2006,0.99,2,NA,Capellini 2015,polygynous,Hosken 2001; Lukas 2013,NA,NA
633,Diprotodontia,Tarsipedidae,Honey possum,Tarsipes_rostratus,0.3648,-0.438,Birkhead 1998,9,0.949,Birkhead 1998,2.93,3,2,Capellini 2015,NA,,NA,NA
634,Cetacea,Ziphiidae,Shepherd's Beaked Whale,Tasmacetus_shepherdi,1348.9629,3.13,Dines 2015,2133045,6.329,Dines 2015,NA,NA,NA,Capellini 2015,NA,,NA,NA
635,Carnivora,Mustelidae,American Badger,Taxidea_taxus,35.5631,1.551,Iossa 2008,7852,3.895,Iossa 2008,2.76,0.74,26,Capellini 2015,promiscuous,Iossa 2008; Ferguson 2004,no,Heldstab 2019
636,Afrosoricida,Tenrecidae,Tail-less Tenrec,Tenrec_ecaudatus,3.0974,0.491,Anderson 2004,2000,3.301,Anderson 2004,16.89,1,8.7,Capellini 2015,promiscuous,Anderson 2004,yes,Heldstab 2019
637,Primates,Cercopithecidae,Gelada,Theropithecus_gelada,17.1,1.332,Gage 2003,20400,4.31,Gage 2003,1.01,0.5,36,Capellini 2015,promiscuous,Kenagy 1986; Moller 1988; Harcourt 1995,yes,Heldstab 2019
638,Primates,Cercopithecidae,Gelada,Theropithecus_gelada,21.4783,1.332,Hayward 2011,20417,4.31,Hayward 2011,1.01,0.5,36,Capellini 2015,promiscuous,Kenagy 1986; Moller 1988; Harcourt 1995,yes,Heldstab 2019
639,Rodentia,Geomyidae,Botta's Pocket Gopher,Thomomys_bottae,3.5563,0.551,Hayward 2011,190,2.279,Hayward 2011,4.61,2,6.1,Capellini 2015,promiscuous,Kenagy 1986; Waterman 2007,no,Heldstab 2019
640,Diprotodontia,Macropodidae,Tasmanian Pademelon,Thylogale_billardierii,46.8813,1.671,Rose 1997,7962,3.901,Rose 1997,1,1,10,Capellini 2015,promiscuous,Rose 1997; Pantheria,NA,NA
641,Rodentia,Muridae,Amami-oshima Island Spiny Rat,Tokudaia_osimensis,0.213,-0.672,Hayward 2011; Breed 2000,89,1.949,Hayward 2011; Breed 2000,NA,NA,NA,Capellini 2015,NA,,NA,NA
642,Primates,Cercopithecidae,Silvery Lutung,Trachypithecus_cristatus,6.2951,0.799,Hayward 2011,6699,3.826,Hayward 2011,1.01,0.5,31.1,Capellini 2015; Myrhvold 2015,polygynous,Kenagy 1986,no,Heldstab 2019; Lukas 2019
643,Primates,Cercopithecidae,Francois' Langur,Trachypithecus_francoisi,3.9811,0.6,Anderson 2004,7603,3.881,Anderson 2004,NA,NA,26.3,Capellini 2015,polygynous,Anderson 2004; Lukas 2012; Lukas 2013,NA,NA
644,Primates,Cercopithecidae,Dusky Leaf-monkey,Trachypithecus_obscurus,4.7973,0.681,Hayward 2011,7447,3.872,Hayward 2011,1.01,0.5,33.9,Capellini 2015,polygynous,Kenagy 1986,no,Heldstab 2019
645,Artiodactyla,Bovidae,Nyala,Tragelaphus_angasii,38.2825,1.583,Anderson 2004,93541,4.971,Anderson 2004,1,1.21,18.5,Capellini 2015,promiscuous,Anderson 2004,no,Heldstab 2019
646,Artiodactyla,Bovidae,Derby Eland,Tragelaphus_derbianus,103.7528,2.016,Anderson 2004,442588,5.646,Anderson 2004,1,1.14,20.3,Capellini 2015; Myrhvold 2015,polygynous,Anderson 2004; Lukas 2012; Lukas 2013,no,Heldstab 2019
647,Artiodactyla,Bovidae,Bongo,Tragelaphus_eurycerus,52.8445,1.723,Anderson 2004,195434,5.291,Anderson 2004,1,0.73,21.9,Capellini 2015,polygynous,Anderson 2004; Lukas 2012; Lukas 2013; Pantheria,NA,NA
648,Artiodactyla,Bovidae,Greater Kudu,Tragelaphus_strepsiceros,92,1.964,Gage 2003,248000,5.285,Gage 2003,1,1,23.5,Capellini 2015,promiscuous,Anderson 2004; Ginsberg 1990,no,Heldstab 2019
649,Artiodactyla,Bovidae,Greater Kudu,Tragelaphus_strepsiceros,92.045,1.964,Anderson 2004,192752,5.285,Anderson 2004,1,1,23.5,Capellini 2015,promiscuous,Anderson 2004; Ginsberg 1990,no,Heldstab 2019
650,Sirenia,Trichechidae,West Indian Manatee,Trichechus_manatus,615.1769,2.789,Reynolds 2004,446684,5.65,Reynolds 2004,1.22,0.37,65,Capellini 2015,promiscuous,Reynolds 2004,NA,NA
651,Diprotodontia,Phalangeridae,Common Brushtail,Trichosurus_vulpecula,3.9994,0.602,Anderson 2004,3648,3.562,Anderson 2004,1.02,1.5,15.9,Capellini 2015,promiscuous,Anderson 2004; Pantheria,NA,NA
652,Cetacea,Delphinidae,Indo-Pacific Bottlenose Dolphin,Tursiops_aduncus,2051.1622,3.312,Dines 2015,230144,5.362,Dines 2015,1,0.5,35,Myrhvold 2015,promiscuous,Pantheria,NA,NA
653,Cetacea,Delphinidae,Bottlenose Dolphin,Tursiops_truncatus,1230.2688,3.09,Dines 2015,247172,5.393,Dines 2015,0.98,0.5,51.6,Capellini 2015,promiscuous,Pantheria,no,Lukas 2019
654,Chiroptera,Vespertilionidae,Lesser Bamboo Bat,Tylonycteris_pachypus,0.07,-1.155,Ramm 2007,4,0.613,Ramm 2007,1.92,1,NA,Capellini 2015,promiscuous,Hosken 2001; Pitnick 2006,NA,NA
655,Chiroptera,Vespertilionidae,Greater Bamboo Bat,Tylonycteris_robustula,0.1,-1,Ramm 2007,8,0.924,Ramm 2007,2,1,NA,Capellini 2015,promiscuous,Hosken 2001; Pitnick 2006,NA,NA
656,Rodentia,Muridae,Rudd's Bristle-furred Rat,Uranomys_ruddi,0.348,-0.458,Breed 2000,40,1.602,Breed 2000,4.07,NA,NA,Capellini 2015,NA,,NA,NA
657,Rodentia,Sciuridae,Belding's Ground Squirrel,Urocitellus_beldingi,3.5,0.544,Soulsbury 2010,370,2.568,Soulsbury 2010,5.71,1,11,Capellini 2015,promiscuous,Soulsbury 2010; Waterman 2007; Sinervo 2020,no,Heldstab 2019; Lukas 2019
658,Rodentia,Sciuridae,Richardson's ground squirrel,Urocitellus_richardsonii,NA,NA,Anjos 2020,325.1,NA,Capellini 2015,7.59,1,6,Capellini 2015,promiscuous,Michener and Locklear 1990; Hare et al 2004,no,LH19; Held19; Waterman pers. comm.
659,Carnivora,Canidae,Gray Fox,Urocyon_cinereoargenteus,5.17,0.713,Soulsbury 2010,3700,3.568,Soulsbury 2010,3.71,0.98,16.2,Capellini 2015,monogamous,Iossa 2008; Soulsbury 2010; Pantheria; Lukas 2013; Lukas 2012; Ferguson 2004,yes,Held19
660,Chiroptera,Phyllostomidae,Common Tent-making Bat,Uroderma_bilobatum,0.0979,-1.009,Pitnick 2006,15,1.173,Pitnick 2006,0.99,2,NA,Capellini 2015,polygynous,Hosken 2001; Lukas 2013,NA,NA
661,Rodentia,Muridae,Black-tailed Uromys,Uromys_anak,11.592,1.064,Breed 2000,879,2.944,Breed 2000,4.3,NA,NA,Capellini 2015,NA,,NA,NA
662,Rodentia,Muridae,Giant White-tailed Uromys,Uromys_caudimaculatus,7.197,0.857,Hayward 2011; Breed 2000,820,2.914,Hayward 2011; Breed 2000,1.46,NA,NA,Capellini 2015,NA,,NA,NA
663,Carnivora,Ursidae,American Black Bear,Ursus_americanus,38.9,1.59,Soulsbury 2010,102287,5.01,Soulsbury 2010,2.39,0.38,34,Capellini 2015,promiscuous,Iossa 2008; Soulsbury 2010; Pantheria; Ferguson 2004,no,Heldstab 2019; Lukas 2019
664,Carnivora,Ursidae,Brown Bear,Ursus_arctos,153.4,2.186,Soulsbury 2010,312000,5.494,Soulsbury 2010,2.24,0.36,50,Capellini 2015,promiscuous,Iossa 2008; Soulsbury 2010; Pantheria; Ferguson 2004,no,Heldstab 2019; Lukas 2019
665,Carnivora,Ursidae,Polar Bear,Ursus_maritimus,131.5225,2.119,Iossa 2008,426580,5.63,Iossa 2008,1.66,0.36,45,Capellini 2015,promiscuous,Iossa 2008; Ferguson 2004,no,Heldstab 2019; Lukas 2019
666,Carnivora,Ursidae,Asian Black Bear,Ursus_thibetanus,66.6807,1.824,Iossa 2008,100231,5.001,Iossa 2008,1.5,1.1,39.2,Capellini 2015; Myrhvold 2015,promiscuous,Iossa 2008; Ferguson 2004,no,Heldstab 2019
667,Chiroptera,Phyllostomidae,Great Stripe-faced Bat,Vampyrodes_caraccioli,0.3319,-0.479,Pitnick 2006,27,1.43,Pitnick 2006,0.98,2,NA,Capellini 2015,polygynous,Hosken 2001; Lukas 2013,NA,NA
668,Chiroptera,Phyllostomidae,Spectral Bat,Vampyrum_spectrum,0.2028,-0.693,Pitnick 2006,159,2.201,Pitnick 2006,1,NA,6.5,Capellini 2015,monogamous,Hosken 2001; Pitnick 2006; Pantheria; Lukas 2013; Lukas 2012,NA,NA
669,Primates,Lemuridae,Black-and-white Ruffed Lemur,Varecia_variegata,2.6303,0.42,Anderson 2004,3467,3.54,Anderson 2004,2.16,1,37,Capellini 2015,polygynous,Anderson 2004; Harcourt 1995; Lukas 2012; Lukas 2013,no,Heldstab 2019; Lukas 2019
670,Diprotodontia,Vombatidae,Common Wombat,Vombatus_ursinus,18.4077,1.265,Birkhead 1998,40087,4.603,Birkhead 1998,1,0.5,30,Capellini 2015,NA,,NA,NA
671,Carnivora,Canidae,Arctic Fox,Vulpes_lagopus,4.06,0.609,Soulsbury 2010,4800,3.681,Soulsbury 2010,7.65,1,16.3,Capellini 2015,monogamous,Iossa 2008; Soulsbury 2010; Pantheria; Lukas 2013; Lukas 2012; Ferguson 2004,yes,LH19; Held19
672,Carnivora,Canidae,Red Fox,Vulpes_vulpes,9,0.954,Hayward 2011; Gage 2003,5069,3.705,Hayward 2011; Gage 2003,4.59,0.91,21.3,Capellini 2015,polygynous,Iossa 2008; Soulsbury 2010; Kenagy 1986; Lukas 2013; Lukas 2012; Ferguson 2004,yes,LH19; Held19
673,Carnivora,Canidae,Red Fox,Vulpes_vulpes,12.36,0.954,Soulsbury 2010,6260,3.705,Soulsbury 2010,4.59,0.91,21.3,Capellini 2015,polygynous,Iossa 2008; Soulsbury 2010; Kenagy 1986; Lukas 2013; Lukas 2012; Ferguson 2004,yes,LH19; Held19
674,Carnivora,Canidae,Fennec Fox,Vulpes_zerda,5.445,0.736,Iossa 2008,1500,3.176,Iossa 2008,2.36,1,16.3,Capellini 2015,monogamous,Iossa 2008; Pantheria; Ferguson 2004,no,Lukas 2019
675,Diprotodontia,Macropodidae,Swamp Wallaby,Wallabia_bicolor,14.7571,1.169,Birkhead 1998,31477,4.498,Birkhead 1998,1.04,1.4,19,Capellini 2015,promiscuous,Rose 1997,NA,NA
676,Rodentia,Muridae,Rock-dwelling Giant Rat,Xenuromys_barbatus,18.94,NA,Breed 2000,950,NA,Breed 2000,1.76,NA,NA,Myrhvold 2015,NA,NA,NA,NA
677,Rodentia,Sciuridae,Striped Ground Squirrel,Xerus_erythropus,2.2,NA,personal squirrel database,637,NA,personal squirrel database,3.45,NA,10.3,Myrhvold 2015,promiscuous,Sinervo 2020,no,Heldstab 2019
678,Rodentia,Sciuridae,South African Ground Squirrel,Xerus_inauris,10.3,NA,personal squirrel database,572.6,NA,Capellini 2015,2.06,1,13,Capellini 2015,promiscuous,Sinervo 2020,no,Lukas 2019
679,Monotremata,Tachyglossidae,Western Long-beaked Echidna,Zaglossus_bruijnii,80.9096,1.908,Birkhead 1998,6902,3.839,Birkhead 1998,1,NA,41.2,Capellini 2015,NA,,NA,NA
680,Cetacea,Ziphiidae,Cuvier's Beaked Whale,Ziphius_cavirostris,7998.3426,3.903,Macleod 2010,2999163,6.477,Macleod 2010,1,NA,62,Capellini 2015,NA,,NA,NA
681,Rodentia,Muridae,Common Australian Rock Rat,Zyzomys_argurus,0.434,-0.363,Ramm 2007; Breed 2000,45,1.653,Ramm 2007; Breed 2000,2.76,1.42,4.16,Myrhvold 2015,NA,,NA,NA
682,Rodentia,Muridae,Kimberley Rock Rat,Zyzomys_woodwardi,1.7298,0.238,Ramm 2007,102,2.009,Ramm 2007,2.23,0.75,NA,Capellini 2015,NA,,NA,NA
