X,order,family,common_name,Binomial,testes_g,log.testes.,ref_testes,BM_g,log.bm.,ref_bm,litter_size,litter_year,longevity,ref_lifehistory,mating_system,ref_mating_system,paternal_care,ref_paternal_care
503,Primates,Hominidae,Bornean Orangutan,Pongo_pygmaeus,35.3,1.548,Anderson 2004,74640,5,Anderson 2004; Gage 2003,1.07,0.22,60,Capellini 2015,promiscuous,Anderson 2004; Kenagy 1986; Moller 1988,no,Heldstab 2019; Lukas 2019
504,Cetacea,Iniidae,Franciscana,Pontoporia_blainvillei,19.9986,1.301,Dines 2015,41495,4.618,Dines 2015,1,0.5,16,Capellini 2015,NA,,NA,NA
505,Diprotodontia,Potoroidae,Long-nosed Potoroo,Potorous_tridactylus,4.3752,0.641,Birkhead 1998,1279,3.107,Birkhead 1998,1,2,14.5,Capellini 2015,promiscuous,Pantheria,NA,NA
506,Rodentia,Muridae,Jackson's Praomys,Praomys_jacksoni,0.888,-0.052,Breed 2000,40,1.602,Breed 2000,3.67,4,5.18,Capellini 2015; Myrhvold et al 2015,NA,,NA,
507,Primates,Cercopithecidae,Maroon Leaf-Monkey,Presbytis_rubicunda,3.5975,0.556,Hayward 2011,6194,3.792,Hayward 2011,1.01,NA,7.316666667,Capellini 2015; Myrhvold 2015,polygynous,Pantheria,NA,NA
508,Carnivora,Felidae,Fishing Cat,Prionailurus_viverrinus,15.7036,1.196,Anderson 2004,11508,4.061,Anderson 2004,2,NA,17.2,Capellini 2015,promiscuous,Ferguson 2004; Iossa 2008,NA,NA
509,Hyracoidea,Procaviidae,Rock Hyrax,Procavia_capensis,17.2187,1.236,Anderson 2004,2023,3.306,Anderson 2004,2.5,1,14.8,Capellini 2015,polygynous,Anderson 2004; Lukas 2012; Lukas 2013,no,Heldstab 2019
510,Carnivora,Procyonidae,Raccoon,Procyon_lotor,13.72,1.137,Soulsbury 2010,5130,3.71,Soulsbury 2010,3.06,1,21,Capellini 2015,promiscuous,Iossa 2008; Soulsbury 2010; Pantheria; Ferguson 2004,no,Heldstab 2019
511,Carnivora,Hyaenidae,Aardwolf,Proteles_cristata,10.0693,1.003,Iossa 2008,11298,4.053,Iossa 2008,2.64,1,25,Capellini 2015; AWD,monogamous; polygynous,Iossa 2008; Lukas 2013; Lukas 2012,no,Heldstab 2019; Lukas 2019
512,Carnivora,Canidae,Culpeo,Pseudalopex_culpaeus,18.7932,1.274,Iossa 2008,9057,3.957,Iossa 2008,4.88,1,13.1,Capellini 2015,monogamous,Iossa 2008,no,Heldstab 2019
